"MY","ACW","GS","G_1"
1.7858591,9.6336,-0.392928274571896,1
1.6978613,9.7344,-0.812909117639065,1
1.7738538,8.6616,-0.245523659260944,1
1.8360649,9.2088,0.174385884767398,1
1.8284411,9.36,0.103711242214777,1
1.8130445,9.6984,0.0820089825661853,1
1.7244533,9.8136,-0.00286950670415536,1
1.9187105,8.5248,0.0660394117608666,1
1.879997,8.5248,0.122683694702559,1
1.9457191,8.0424,0.0794195699831471,1
1.9618585,7.5816,0.045879161717603,1
1.9286604,6.7104,-0.0190062735840911,1
2.0387252,7.4592,0.0793727286881767,1
1.8688446,8.604,0.142908782584127,1
1.7566939,8.3952,-0.114637250141241,2
1.8615207,7.6896,-0.0919447411567671,1
1.790854,9.6696,-0.142229780919151,1
1.6877254,9.3168,-0.167131695220887,1
1.9460705,7.524,-0.309603080535308,1
1.7915316,8.4744,-0.133647557138465,2
1.6601549,7.8624,-0.194078127958346,2
1.8570576,8.244,-0.0369552472274518,1
1.7753986,8.172,-0.109023705362342,1
1.8368627,7.308,-0.108713033141103,1
1.7992658,9.1368,0.171915581040084,1
1.8164317,9.4032,0.185766890973318,2
1.8556728,7.6248,-0.41682386495173,1
2.2503744,7.3368,-0.293021041154861,1
1.822992,8.1288,-0.393149636015296,1
1.9290239,7.452,0.02953392671654,1
1.6261141,9.4968,-0.566923951804638,2
1.7064586,8.2152,-0.161015737316629,1
2.0862549,8.6112,0.176578573875595,1
